Name,Time in,"Time/Date
Out",Whole Body Dose,Time In
employee_6,17/09/2032 00:35,17/09/2032 01:26,O,17/09/2032 00:35
employee_2,28/08/2032 11:47,28/08/2032 12:10,0.001,28/08/2032 11:47
employee_6,04/09/2032 00:33,04/09/2032 08:55,0.001,04/09/2032 00:33
employee_13,04/09/2032 01:07,04/09/2032 08:56,0.001,04/09/2032 01:07
employee_25,17/09/2032 00:34,17/09/2032 01:26,0.001,17/09/2032 00:34
employee_10,31/07/2032 11:18,31/07/2032 12:01,0.002,31/07/2032 11:18
employee_2,04/09/2032 00:32,04/09/2032 08:54,0.002,04/09/2032 00:32
employee_2,08/09/2032 11:22,08/09/2032 11:51,0.002,08/09/2032 11:22
employee_2,09/09/2032 13:32,09/09/2032 14:16,0.002,09/09/2032 13:32
employee_17,31/07/2032 11:21,31/07/2032 12:01,0.003,31/07/2032 11:21
employee_18,02/09/2032 01:05,02/09/2032 08:52,0.003,02/09/2032 01:05
employee_3,05/09/2032 00:34,05/09/2032 08:57,0.003,05/09/2032 00:34
employee_2,02/09/2032 01:03,02/09/2032 08:55,0.004,02/09/2032 01:03
employee_21,04/09/2032 00:32,04/09/2032 08:53,0.004,04/09/2032 00:32
employee_6,05/09/2032 00:33,05/09/2032 08:56,0.004,05/09/2032 00:33
employee_24,09/09/2032 01:22,09/09/2032 01:58,0.004,09/09/2032 01:22
employee_17,06/08/2032 11:10,06/08/2032 17:14,0.005,06/08/2032 11:10
employee_5,27/08/2032 16:44,27/08/2032 18:42,0.005,27/08/2032 16:44
employee_8,27/08/2032 16:45,27/08/2032 18:38,0.005,27/08/2032 16:45
employee_24,26/08/2032 13:55,26/08/2032 18:53,0.006,26/08/2032 13:55
employee_2,26/08/2032 13:56,26/08/2032 18:53,0.006,26/08/2032 13:56
employee_11,02/09/2032 11:11,02/09/2032 18:04,0.006,02/09/2032 11:11
employee_25,05/09/2032 00:33,05/09/2032 08:55,0.006,05/09/2032 00:33
employee_18,09/09/2032 12:22,09/09/2032 13:03,0.006,09/09/2032 12:22
employee_7,16/09/2032 16:36,16/09/2032 17:54,0.006,16/09/2032 16:36
employee_21,26/07/2032 11:16,26/07/2032 17:12,0.007,26/07/2032 11:16
employee_24,30/07/2032 01:30,30/07/2032 08:43,0.007,30/07/2032 01:30
employee_8,05/09/2032 00:47,05/09/2032 08:56,0.007,05/09/2032 00:47
employee_14,16/09/2032 16:33,16/09/2032 17:55,0.007,16/09/2032 16:33
